Russian	Pronouncing	Farsi	Counts
Где?	kojā?	ﮐﺠﺎ؟	1
здесь	in jā	اﯾﻦ ﺟﺎ	1
там	ānjā	آﻧﺠﺎ	1
где-то	jā-yi	ﺟﺎﯾﯽ	1
нигде	hič kojā	ﻫﯿﭻ ﮐﺠﺎ	1
у … (около)	nazdik	ﻧﺰدﯾﮏ	1
у окна	nazdik panjere	ﻧﺰدﯾﮏ ﭘﻨﺠﺮه	1
Куда?	kojā?	ﮐﺠﺎ؟	1
сюда	in jā	اﯾﻦ ﺟﺎ	1
туда	ānjā	آﻧﺠﺎ	1
отсюда	az injā	از اﯾﻨﺠﺎ	1
оттуда	az ānjā	از آﻧﺠﺎ	1
близко	nazdik	ﻧﺰدﯾﮏ	1
далеко	dur	دور	1
около (рядом)	nazdik	ﻧﺰدﯾﮏ	1
рядом (недалеко)	nazdik	ﻧﺰدﯾﮏ	1
недалеко (ехать, идти)	nazdik	ﻧﺰدﯾﮏ	1
левый	čap	ﭼﭗ	1
слева	dast-e čap	دﺳﺖ ﭼﭗ	1
налево	be čap	ﺑﻪ ﭼﭗ	1
правый	rāst	راﺳﺖ	1
справа	dast-e rāst	دﺳﺖ راﺳﺖ	1
направо	be rāst	ﺑﻪ راﺳﺖ	1
спереди	jelo	ﺟﻠﻮ	1
передний	jelo	ﺟﻠﻮ	1
вперёд (движение)	jelo	ﺟﻠﻮ	1
сзади (находиться)	aqab	ﻋﻘﺐ	1
сзади (подойти)	az aqab	از ﻋﻘﺐ	1
назад (движение)	aqab	ﻋﻘﺐ	1
середина	vasat	وﺳﻂ	1
посередине	dar vasat	در وﺳﻂ	1
сбоку (со стороны)	pahlu	ﭘﻬﻠﻮ	1
везде	hame jā	ﻫﻤﻪ ﺟﺎ	1
вокруг	atrāf	اﻃﺮاف	1
изнутри	az daxel	از داﺧﻞ	1
куда-то	jā-yi	ﺟﺎﯾﯽ	1
напрямик	mostaqim	ﻣﺴﺘﻘﯿﻢ	1
обратно	aqab	ﻋﻘﺐ	1
откуда-нибудь	az har jā	از ﻫﺮ ﺟﺎ	1
откуда-то	az yek jā-yi	از ﯾﮏ ﺟﺎﯾﯽ	1
во-первых	avvalan	اوﻻً	1
во-вторых	dumā	دوﻣﺎ	1
в-третьих	sālesan	ﺛﺎﻟﺜﺎً	1
вдруг	nāgahān	ﻧﺎﮔﻬﺎن	1
вначале	dar avval	در اول	1
впервые	barā-ye avvalin bār	ﺑﺮای اوﻟﯿﻦ ﺑﺎر	1
задолго до …	xeyli vaqt piš	ﺧﯿﻠﯽ وﻗﺖ ﭘﯿﺶ	1
заново	az now	از ﻧﻮ	1
насовсем	barā-ye hamiše	ﺑﺮای ﻫﻤﯿﺸﻪ	1
никогда	hič vaqt	ﻫﯿﭻ وﻗﺖ	1
опять	dobāre	دوﺑﺎره	1
теперь	alān	اﻻن	1
часто	aqlab	اﻏﻠﺐ	1
тогда	ān vaqt	آن وﻗﺖ	1
срочно	foran	ﻓﻮراً	1
обычно	maʿmulan	ﻣﻌﻤﻮﻻً	1
кстати, …	rāst-i	راﺳﺘﯽ	1
возможно	momken ast	ﻣﻤﮑﻦ اﺳﺖ	1
вероятно	ehtemālan	اﺣﺘﻤﺎﻻً	1
может быть	šāyad	ﺷﺎﯾﺪ	1
кроме того, …	bealāve	ﺑﻌﻼوه	1
поэтому …	be hamin xāter	ﺑﻪ ﻫﻤﯿﻦ ﺧﺎﻃﺮ	1
несмотря на …	alāraqm	ﻋﻠﯿﺮﻏﻢ	1
благодаря …	be lotf	ﺑﻪ ﻟﻄﻒ	1
что (местоимение)	če?	ﭼﻪ؟	1
что (союз)	ke	ﮐﻪ	1
что-то	yek čiz-i	ﯾﮏ ﭼﯿﺰی	1
что-нибудь	yek kāri	ﯾﮏ ﮐﺎری	1
ничего	hič čiz	ﻫﯿﭻ ﭼﯿﺰ	1
кто	ki	ﮐﯽ	1
кто-то	yek kas-i	ﯾﮏ ﮐﺴﯽ	1
кто-нибудь	yek kas-i	ﯾﮏ ﮐﺴﯽ	1
никто	hič kas	ﻫﯿﭻ ﮐﺲ	1
никуда	hič kojā	ﻫﯿﭻ ﮐﺠﺎ	1
ничей	māl-e hičkas	ﻣﺎل ﻫﯿﭻ ﮐﺲ	1
чей-нибудь	har kas-i	ﻫﺮ ﮐﺴﯽ	1
так	xeyli	ﺧﯿﻠﯽ	1
также	ham	ﻫﻢ	1
тоже	ham	ﻫﻢ	1
